"name","price","review_count","rating","est_income","est_total_cost","expected_profit"
"Gweep Gwop","0.00","32","5.0","$330,000.00","$142,000.00","$188,000.00"
"单机群侠传-金庸群侠传口袋版","0.00","30","5.0","$330,000.00","$142,000.00","$188,000.00"
"驴妈妈旅游-订景点门票机票火车票特价酒店","0.00","30","5.0","$330,000.00","$142,000.00","$188,000.00"
"Escape Game: Traps","0.00","29","5.0","$330,000.00","$142,000.00","$188,000.00"
"Alternative Girls","0.00","29","5.0","$330,000.00","$142,000.00","$188,000.00"
"Laurie Hernandez the Human Emoji","0.00","26","5.0","$330,000.00","$142,000.00","$188,000.00"
"Roll Turtle","0.99","25","5.0","$330,000.00","$142,000.00","$188,000.00"
"NashMoji ™ by Nash Grier","0.99","24","5.0","$330,000.00","$142,000.00","$188,000.00"
"Hide it Hillary!","0.99","23","5.0","$330,000.00","$142,000.00","$188,000.00"
"Balvinmoji","0.99","22","5.0","$330,000.00","$142,000.00","$188,000.00"
"全民炸金花-首款含电玩城百家乐的棋牌游戏","0.00","22","5.0","$330,000.00","$142,000.00","$188,000.00"
"SenseSleep - Train Your Brain To Sleep Better","0.00","22","5.0","$330,000.00","$142,000.00","$188,000.00"
"Ab in den Urlaub – Pauschalreisen günstig buchen","0.00","22","5.0","$330,000.00","$142,000.00","$188,000.00"
"Benzomoji","0.99","22","5.0","$330,000.00","$142,000.00","$188,000.00"
"C CHANNEL -Watch tips & tricks videos for girls","0.00","21","5.0","$330,000.00","$142,000.00","$188,000.00"
"SHOWROOM - video live streaming","0.00","20","5.0","$330,000.00","$142,000.00","$188,000.00"
"Room Escape [SECRET CODE 2]","0.00","20","5.0","$330,000.00","$142,000.00","$188,000.00"
"Mystery of Fortune 2","0.99","19","5.0","$330,000.00","$142,000.00","$188,000.00"
"Arthur's Adventures-Road of Glory:Pocket Edition","0.99","18","5.0","$330,000.00","$142,000.00","$188,000.00"
"エレメンタル ファンタジー - 高精細３ＤアクションＲＰＧ","0.00","17","5.0","$330,000.00","$142,000.00","$188,000.00"
"TraptionBakery","0.00","17","5.0","$330,000.00","$142,000.00","$188,000.00"
"特种部队-跨服竞技TCG军事策略游戏","0.00","17","5.0","$330,000.00","$142,000.00","$188,000.00"
"LINE RUSH !","0.00","15","5.0","$330,000.00","$142,000.00","$188,000.00"
"书香云集Pro-小说电子书免费看书读书听书追书无广告阅读器","0.99","14","5.0","$330,000.00","$142,000.00","$188,000.00"
"家計簿マネーフォワード-自動連携で簡単 人気の家計簿","0.00","14","5.0","$330,000.00","$142,000.00","$188,000.00"
"直播吧(官方版)-体育从这里开始","0.00","13","5.0","$330,000.00","$142,000.00","$188,000.00"
"永生劫 — 单机回合仙侠RPG","0.00","13","5.0","$330,000.00","$142,000.00","$188,000.00"
"ひみつの出会い探しはバクアイ-無料の出会いチャットアプリで友達作り","0.00","13","5.0","$330,000.00","$142,000.00","$188,000.00"
"【明星恋爱】偶像之路TIME TO STAR","0.99","12","5.0","$330,000.00","$142,000.00","$188,000.00"
"Attack Heroes","0.99","12","5.0","$330,000.00","$142,000.00","$188,000.00"
"Stealers Steal: A thief's quest for gold","0.99","12","5.0","$330,000.00","$142,000.00","$188,000.00"
"宾果消消消 -赵丽颖代言","0.00","12","5.0","$330,000.00","$142,000.00","$188,000.00"
"Mon Espace - Pôle emploi","0.00","11","5.0","$330,000.00","$142,000.00","$188,000.00"
"楽天カード","0.00","11","5.0","$330,000.00","$142,000.00","$188,000.00"
"Free QR Code Reader simply to scan a QR Code","0.00","10","5.0","$330,000.00","$142,000.00","$188,000.00"
"Room Escape Game - Santa's Room","0.00","10","5.0","$330,000.00","$142,000.00","$188,000.00"
"大根にしがみつく女子高生","0.00","10","5.0","$330,000.00","$142,000.00","$188,000.00"
"Book - room escape game -","0.00","10","5.0","$330,000.00","$142,000.00","$188,000.00"
"マンガ図書館Z -人気漫画が読み放題！","0.00","9","5.0","$330,000.00","$142,000.00","$188,000.00"
"棒棒糖-宝宝的世界衣橱","0.00","8","5.0","$330,000.00","$142,000.00","$188,000.00"
"minne - shopping handmade item","0.00","8","5.0","$330,000.00","$142,000.00","$188,000.00"
"SHERMOJI - Official Richard Sherman Emoji Keyboard","0.99","8","5.0","$330,000.00","$142,000.00","$188,000.00"
"宜搜小说-热门网络书籍看书追更必备神器","0.99","8","5.0","$330,000.00","$142,000.00","$188,000.00"
"超ヒモ理論 ～働きたくないでござる～","0.00","8","5.0","$330,000.00","$142,000.00","$188,000.00"
"PPTAN","0.99","8","5.0","$330,000.00","$142,000.00","$188,000.00"
"flick（フリック）- みんなの顔文字キーボードから名前が変わりました","0.00","8","5.0","$330,000.00","$142,000.00","$188,000.00"
"DELISH KITCHEN - レシピ動画で料理を簡単に","0.00","7","5.0","$330,000.00","$142,000.00","$188,000.00"
"Analog London","0.99","7","5.0","$330,000.00","$142,000.00","$188,000.00"
"Dice Crush","0.00","7","5.0","$330,000.00","$142,000.00","$188,000.00"
"Escape the Cake Café","0.00","7","5.0","$330,000.00","$142,000.00","$188,000.00"
